Dataset,Model,K-Fold,Fold,Akurasi,Presisi,Recall,F1-Score,AUC,Train (s),Pred (ms),N Train,N Validasi
Dataset A,LightGBM,5,1,0.9684,0.9703,0.9684,0.9684,0.9966,0.4718,4.462,2908,728
Dataset A,LightGBM,5,2,0.9849,0.9853,0.9849,0.9849,0.9988,0.4817,4.087,2909,727
Dataset A,LightGBM,5,3,0.9766,0.9777,0.9766,0.9766,0.9945,0.5181,4.16,2909,727
Dataset A,LightGBM,5,4,0.9766,0.9777,0.9766,0.9766,0.9972,0.5414,4.829,2909,727
Dataset A,LightGBM,5,5,0.9766,0.9777,0.9766,0.9766,0.998,0.5692,16.686,2909,727
Dataset A,XGBoost,5,1,0.9657,0.9679,0.9657,0.9656,0.9935,0.8769,3.198,2908,728
Dataset A,XGBoost,5,2,0.9849,0.9853,0.9849,0.9849,0.996,0.5532,3.258,2909,727
Dataset A,XGBoost,5,3,0.9752,0.9764,0.9752,0.9752,0.9911,0.9353,1.903,2909,727
Dataset A,XGBoost,5,4,0.9766,0.9777,0.9766,0.9766,0.9942,0.5322,1.925,2909,727
Dataset A,XGBoost,5,5,0.9766,0.9777,0.9766,0.9766,0.9951,0.5661,3.048,2909,727
