Dataset,Model,K-Fold,Fold,Akurasi,Presisi,Recall,F1-Score,AUC,Train (s),Pred (ms),N Train,N Validasi
Dataset B,LightGBM,5,1,0.9394,0.9394,0.9394,0.9394,0.9862,0.0547,1.149,264,66
Dataset B,LightGBM,5,2,0.9394,0.941,0.9394,0.9393,0.9835,0.0483,0.901,264,66
Dataset B,LightGBM,5,3,1.0,1.0,1.0,1.0,1.0,0.0495,1.256,264,66
Dataset B,LightGBM,5,4,0.9394,0.941,0.9394,0.9393,0.9972,0.0391,0.806,264,66
Dataset B,LightGBM,5,5,0.8939,0.8943,0.8939,0.8939,0.9807,0.0383,0.927,264,66
Dataset B,XGBoost,5,1,0.9091,0.9231,0.9091,0.9083,0.9587,0.0935,1.116,264,66
Dataset B,XGBoost,5,2,0.9394,0.9394,0.9394,0.9394,0.9743,0.0765,1.052,264,66
Dataset B,XGBoost,5,3,0.9848,0.9853,0.9848,0.9848,1.0,0.0761,0.921,264,66
Dataset B,XGBoost,5,4,0.9697,0.9697,0.9697,0.9697,0.9954,0.0789,0.959,264,66
Dataset B,XGBoost,5,5,0.8636,0.8667,0.8636,0.8634,0.9725,0.0832,0.925,264,66
